Rank	Hole Cards	Overall	WinHi %	TieHi %	WinLo %	TieLo %	Occur %	Cumul %
233	Ax 7- 3x 2-	21.6693	8.5638	1.0817	22.7203	18.576	0.0088	1.3851
234	Ax Ky Jy 2x	21.6597	14.9855	2.6753	13.8733	12.1774	0.0044	1.3895
235	A- A- Kx 2x	21.6458	14.4012	0.8488	18.1672	9.7279	0.0044	1.3939
236	Ax 9y 4y 2x	21.6453	9.9622	1.131	20.9532	17.0855	0.0044	1.3984
237	Ax 9y 4x 2y	21.6395	10.001	1.1074	20.9684	17.1218	0.0044	1.4028
238	Ax A- 6x 2x	21.6346	13.5522	0.3529	19.4882	10.2864	0.0044	1.4072
239	A- J- 3x 2x	21.6196	5.6191	1.7871	24.3484	19.7576	0.0088	1.4161
240	Ax 9x 3x 2x	21.6137	6.4703	0.8857	24.3694	19.8585	0.0014	1.4176
241	Ax Jx Jy 2y	21.5821	15.3401	0.8672	13.9415	12.1276	0.0044	1.422
242	Ax Kx 4x 2-	21.5731	8.9428	2.0881	20.9515	17.1077	0.0044	1.4264
243	A- 3x 2x 2-	21.5729	5.8449	0.4375	28.0191	15.073	0.0088	1.4353
244	A- 5- 3- 2-	21.559	4.7061	1.7611	26.5096	20.9701	0.0088	1.4442
245	Ax Ky Jx 2y	21.5416	14.859	2.7169	13.8829	12.254	0.0044	1.4486
246	A- Kx 4- 2x	21.5355	8.9063	2.1006	21.041	17.1985	0.0088	1.4575
247	Ax 6y 4y 2x	21.5325	10.0706	1.6971	21.0827	17.0174	0.0044	1.4619
248	Ax 6y 4x 2y	21.5282	9.9807	1.7338	21.1288	17.1247	0.0044	1.4663
249	Ax Kx 4- 2x	21.5257	8.8694	2.1281	20.9426	17.2166	0.0044	1.4708
250	Ax 8x 3- 2-	21.5113	8.5437	0.9386	22.5179	18.4147	0.0088	1.4796
251	Ax 6x 3x 2x	21.5073	6.6881	1.298	24.1616	19.5202	0.0014	1.4811
252	A- Kx 4x 2-	21.499	8.9726	2.0716	20.904	17.2167	0.0088	1.49
253	A- K- 3- 2-	21.49	5.3459	1.9446	24.2284	19.754	0.0088	1.4989
254	Ax 4x 4- 2-	21.4827	10.1107	0.679	22.3106	14.468	0.0088	1.5077
255	A- T- 3x 2x	21.4769	5.4544	1.7406	24.3498	19.7194	0.0088	1.5166
256	Ax Qy 4x 3y	21.4649	12.6978	2.267	17.1393	14.3074	0.0044	1.521
257	A- A- 2- 2-	21.4641	12.5894	0.0813	22.204	7.3172	0.0022	1.5232
258	Ax 8- 3- 2x	21.4581	8.4676	0.9271	22.4996	18.4017	0.0088	1.5321
259	Ax 6x 4y 2y	21.4452	9.9773	1.7197	21.061	17.0439	0.0044	1.5366
260	Ax Qy 4y 3x	21.4443	12.7311	2.286	16.9713	14.4193	0.0044	1.541
261	Ax Ky Ty 2x	21.4398	14.7228	2.5981	13.9704	12.0238	0.0044	1.5454
262	Ax 8- 3x 2-	21.437	8.4566	0.9524	22.5032	18.3927	0.0088	1.5542
263	Ax Q- 4x 2x	21.4269	8.5291	2.0439	20.9764	17.219	0.0044	1.5587
